input_line,query_name,query_birth,query_death,query_state,chosen_memorial_url,chosen_memorial_id,parsed_name,parsed_birth,parsed_death,parsed_place,parsed_bio_snippet,match_score
Trooper Joseph Sawtell Jr.,Joseph Sawtell Jr,,,,,,Josephine Jreissati Geha (1927-2015) - Find a...,19,20,"Burial Heavenly Rest Catholic Cemetery Windsor , Essex County , Ontario , Canada Add to Map Memorial ID 225977261 225977261",,0.228
Sergeant Steven G. Greco,Steven G Greco,,,,,,,,,,,0.000
"Sergeant George A. Brown, III",George A Brown III,,,,,,,,,,,0.000
Trooper Bradley S. Glascock,Bradley S Glascock,,,,,,,,,,,0.000
Trooper Lindell J. Gibbons,Lindell J Gibbons,,,,,,,,,,,0.000
Florence Hecht,Florence Hecht,,,,https://www.findagrave.com/memorial/91250264/florence-hecht,91250264,Florence Mayer Hecht (1910-1997) - Find a Grave...,19,19,"Burial Saint Johns Cemetery Frankentrost , Saginaw County , Michigan , USA Add to Map Plot Plot New 11A Memorial ID 91250264 91250264",,0.325
Trooper William 'Bill' H. Dyer,William 'Bill' H Dyer,,,,,,,,,,,0.000
Trooper Robert P. McDermon,Robert P McDermon,,,,https://www.findagrave.com/memorial/272424014/robert-clinton-mcdermond,272424014,Robert Clinton McDermond (1909-1997) - Find a...,19,19,Burial Cremated Memorial ID 272424014 272424014,,0.365
Trooper Phillip Black,Phillip Black,,,,,,,,,,,0.000
Corporal Donald Irwin,Donald Irwin,,,,,,,,,,,0.000
Robert L. Shevin,Robert L Shevin,,,,,,,,,,,0.000
Manuel A. Gonzalez Plaza,Manuel A Gonzalez Plaza,,,,https://www.findagrave.com/memorial/124028933/manuel-plaza,124028933,Manuel Plaza (unknown-1995) - Find a Grave...,19,,"Burial Rosedale and Rosehill Cemetery Linden , Union County , New Jersey , USA Add to Map Plot WIN8T-30-20",,0.260
Trooper Owen K. Bender,Owen K Bender,,,,,,,,,,,0.000
Trooper Merle J. Cook,Merle J Cook,,,,,,,,,,,0.000
Trooper Robert L. Pruitt,Robert L Pruitt,,,,https://www.findagrave.com/memorial/13433181/robert-pruitt,13433181,Robert Pruitt (unknown-2005) - Find a Grave...,20,,"Burial Kennedy Memorial Gardens Cedar Grove , DeKalb County , Georgia , USA Add to Map Memorial ID 13433181 13433181",,0.319
Trooper Cleo L. Tomlinson Jr.,Cleo L Tomlinson Jr,,,,,,,,,,,0.000
Trooper Luther P. Daniel,Luther P Daniel,,,,,,,,,,,0.000
Sergeant William T. Bishop,William T Bishop,,,,https://www.findagrave.com/memorial/184918835/william-bishop,184918835,William Bishop (1918-1918) - Find a Grave Memorial,19,19,"Burial Marfa Cemetery Marfa , Presidio County , Texas , USA Add to Map Memorial ID 184918835 184918835",,0.298
Trooper Halley Strickland,Halley Strickland,,,,,,,,,,,0.000
Fallen Hero Specialist Kelly J. Mixon,Fallen Hero Specialist Kelly J Mixon,,,,,,,,,,,0.000
"Martin Luther King, Jr.",Martin Luther King Jr,,,,,,,,,,,0.000
Sheriff David C. Hobbs,Sheriff David C Hobbs,,,,,,S E Hobbs (unknown-1983) - Find a Grave Memorial,19,,"Burial Bridgewater Cemetery Bridgewater-on-Loddon , Loddon Shire , Victoria , Australia Add to Map Memorial ID 209055737 209055737",,0.163
"Sergeant John C. Baxter, Jr.",John C Baxter Jr,,,,,,,,,,,0.000
Patrolman Royston E. Walker,Patrolman Royston E Walker,,,,,,,,,,,0.000
Sergeant Daniel Hinton,Daniel Hinton,,,,https://www.findagrave.com/memorial/45429889/daniel-hinton,45429889,Daniel Hinton (unknown-1970) - Find a Grave...,19,,"Burial Ferncliff Cemetery Springfield , Clark County , Ohio , USA Add to Map Memorial ID 45429889 45429889",,0.331
Jorge P. Castano,Jorge P Castano,,,,,,,,,,,0.000
"Trooper Sherman L. Scott, Jr.",Sherman L Scott Jr,,,,,,,,,,,0.000
Trooper Richard Howell,Richard Howell,,,,,,,,,,,0.000
Trooper Herman T. Morris,Herman T Morris,,,,https://www.findagrave.com/memorial/194331697/herman-morris,194331697,Herman Morris (1894-1952) - Find a Grave Memorial,18,19,"Burial Beth Shalom Cemetery Shaler Township , Allegheny County , Pennsylvania , USA Add to Map Plot Section B Plot 66 Grave 7 Memorial ID 194331697 194331697",,0.286
"Trooper Frederick J. Groves, Jr.",Frederick J Groves Jr,,,,,,,,,,,0.000
Trooper Wilburn A. Kelly,Wilburn A Kelly,,,,,,,,,,,0.000
Trooper Edwin J. Gasque,Edwin J Gasque,,,,https://www.findagrave.com/memorial/90008146/edwin-jehue-gasque,90008146,Edwin Jehue Gasque Jr. (1904-1977) - Find a Grave...,19,19,"Burial Dade City Cemetery Dade City , Pasco County , Florida , USA Show Map GPS-Latitude",,0.469
Maceo Perkins,Maceo Perkins,,,,,,,,,,,0.000
SSGT Edward C. Sheffield,SSGT Edward C Sheffield,,,,,,,,,,,0.000
Trooper Alvin V. Kohler,Alvin V Kohler,,,,https://www.findagrave.com/memorial/94910650/alvin-a-kohler,94910650,Alvin A Kohler (1909-1910) - Find a Grave Memorial,19,19,"Burial Kenoza Lake Cemetery Kenoza Lake , Sullivan County , New York , USA Add to Map Memorial ID 94910650 94910650",,0.286
Trooper Elmer C. Barnett,Elmer C Barnett,,,,,,,,,,,0.000
Trooper Chelsea Richard,Chelsea Richard,,,,https://www.findagrave.com/memorial/14068046/chelsea-richards,14068046,Chelsea Richards (1995-1995) - Find a Grave...,19,19,"Burial Brigham City Cemetery Brigham City , Box Elder County , Utah , USA Add to Map Plot A-2-46-4 Memorial ID 14068046 14068046",,0.368
Trooper Milan D. Hendrix,Milan D Hendrix,,,,,,,,,,,0.000
Officer Lance Christian Whitaker,Lance Christian Whitaker,,,,,,,,,,,0.000
Countyline,Countyline,,,,,,,,,,,0.000
A.B. Michael Bridges,AB Michael Bridges,,,,,,,,,,,0.000
Archibald Johns Thomas,Archibald Johns Thomas,,,,https://www.findagrave.com/memorial/101530460/archibald-thomas,101530460,Archibald Thomas - Find a Grave Memorial,,,"Burial Philipsburg Cemetery South Philipsburg , Centre County , Pennsylvania , USA Add to Map Memorial ID 101530460 101530460",,0.347
Army Captain Joseph M. Berkson,Army Captain Joseph M Berkson,,,,,,,,,,,0.000
Austin D. Gay,Austin D Gay,,,,,,Austin Gay (1819-1891) - Find a Grave Memorial,18,18,"Burial Locust Grove Cemetery Providence , Providence County , Rhode Island , USA Add to Map Memorial ID 17953444 17953444",,0.245
Bart D. and John R. Broxson,Bart D and John R Broxson,,,,,,,,,,,0.000
Deputy Chief Lynne Nungesser,Deputy Chief Lynne Nungesser,,,,,,,,,,,0.000
Deputy Donald Ray Cook,Deputy Donald Ray Cook,,,,,,D Cook (1819-1884) - Find a Grave Memorial,18,18,"Burial Sheppey Cemetery Sheerness , Swale Borough , Kent , England Add to Map Plot H, 82 Memorial ID 223647617 223647617",,0.132
Deputy Matt Miller,Deputy Matt Miller,,,,,,,,,,,0.000
Deputy Sheriff David Anthony Abella,Deputy Sheriff David Anthony Abella,,,,,,,,,,,0.000
"General Daniel ‘Chappie’ James, Jr.",Daniel ‘Chappie’ James Jr,,,,,,,,,,,0.000
Harriet Tubman,Harriet Tubman,,,,https://www.findagrave.com/memorial/1247/harriet-tubman,1247,Harriet Tubman (1822-1913) - Find a Grave Memorial,18,19,"Burial Fort Hill Cemetery Auburn , Cayuga County , New York , USA Show Map GPS-Latitude",,0.308
J.D. Turner,JD Turner,,,,,,,,,,,0.000
John B. Coxwell,John B Coxwell,,,,,,,,,,,0.000
John C. Gainous,John C Gainous,,,,https://www.findagrave.com/memorial/100183488/john-charles-gainous,100183488,PFC John Charles Gainous (1946-1967) - Find a...,19,19,"Burial Holly Hill Cemetery Port Saint Joe , Gulf County , Florida , USA Add to Map Plot Block F Lot 9-B Memorial ID 100183488 100183488",,0.487
Joshua S. Montaad,Joshua S Montaad,,,,,,,,,,,0.000
Julius ‘July’ Perry,Julius ‘July’ Perry,,,,https://www.findagrave.com/memorial/177730032/julius-perry,177730032,Julius Perry (1961-1992) - Find a Grave Memorial,19,19,"Burial Richland County Cemetery Pontiac , Richland County , South Carolina , USA Add to Map Memorial ID 177730032 177730032",,0.260
Manuel H. ‘Manny’ Piedra,Manuel H ‘Manny’ Piedra,,,,,,,,,,,0.000
Master Police Officer Lois Marrero,Master Police Officer Lois Marrero,,,,,,,,,,,0.000
Phoebe Jonchuck,Phoebe Jonchuck,,,,,,,,,,,0.000
Purple Heart,Purple Heart,,,,https://www.findagrave.com/memorial/56521045/p-hearty,56521045,Sgt P Hearty (unknown-1916) - Find a Grave...,19,,"Burial Flatiron Copse Cemetery Mametz , Departement de la Somme , Picardie , France Show Map GPS-Latitude",,0.336
Rosa Maria Plasencia,Rosa Maria Plasencia,,,,,,,,,,,0.000
Sergeant Tracy Vickers,Tracy Vickers,,,,,,,,,,,0.000
"Slaughter, Read, Ramirez, Lindsey",Slaughter Read Ramirez Lindsey,,,,,,S B Lindsey (1862-1874) - Find a Grave Memorial,18,18,"Burial Evergreen Cemetery Fort Scott , Bourbon County , Kansas , USA Add to Map Memorial ID 198591833 198591833",,0.181
Trooper Joseph Bullock,Joseph Bullock,,,,,,,,,,,0.000
Wesley L. Silas,Wesley L Silas,,,,,,,,,,,0.000
Willis V. Rowan,Willis V Rowan,,,,https://www.findagrave.com/memorial/281903444/willis-howard-rowan,281903444,Willis Howard Rowan (1921-1923) - Find a Grave...,19,19,"Burial Roseland Park Cemetery Berkley , Oakland County , Michigan , USA Add to Map Memorial ID 281903444 281903444",,0.307
Olympian Theresa Manuel,Olympian Theresa Manuel,,,,,,,,,,,0.000
Patrolman Leroy Bender,Patrolman Leroy Bender,,,,,,,,,,,0.000
Kurt Eichin,Kurt Eichin,,,,https://www.findagrave.com/memorial/162913196/kurt-eichinger,162913196,Kurt Eichinger (1929-1992) - Find a Grave Memorial,19,19,"Burial Friedhof Oberlaa Oberlaa , Wien Stadt , Vienna , Austria Add to Map Memorial ID 162913196 162913196",,0.255
Officer James Ronco,James Ronco,,,,,,,,,,,0.000
Robert L. 'Bob' Billingslea,Robert L 'Bob' Billingslea,,,,,,,,,,,0.000
Coach Jeff Sommer,Coach Jeff Sommer,,,,,,C. J. Sommer (1871-1871) - Find a Grave Memorial,18,18,"Burial Calvary Cemetery Springfield , Sangamon County , Illinois , USA Add to Map Memorial ID 21496157 21496157",,0.224
Corporal Joseph R. Bertrand,Joseph R Bertrand,,,,,,,,,,,0.000
KMI Kentucky Military Institute,KMI Kentucky Military Institute,,,,,,,,,,,0.000
Historic Suwannee River Scenic,Historic Suwannee River Scenic,,,,,,,,,,,0.000
"Joe Anderson, Jr.",Joe Anderson Jr,,,,,,,,,,,0.000
David W. Moss,David W Moss,,,,,,David Moss (unknown-1943) - Find a Grave Memorial,19,,"Burial Holy Trinity Churchyard Horwich , Metropolitan Borough of Bolton , Greater Manchester , England Add to Map Memorial ID 221491106 221491106",,0.232
Joe C. Peavy,Joe C Peavy,,,,,,,,,,,0.000
Private First Class Joey Moody,First Class Joey Moody,,,,,,,,,,,0.000
SP4 Billy Jacob Hartsfield,SP4 Billy Jacob Hartsfield,,,,,,,,,,,0.000
Francis Gibbs,Francis Gibbs,,,,https://www.findagrave.com/memorial/245406367/francis-gibbs,245406367,Francis Gibbs (unknown-1837) - Find a Grave...,18,,"Burial New Windsor Chapel Chapleyard Salford , Metropolitan Borough of Salford , Greater Manchester , England Add to Map Memorial ID 245406367 245406367",,0.331
Nassau County Deputy Sheriffs,Nassau County Deputy Sheriffs,,,,,,,,,,,0.000
Emmitt G. Coakley,Emmitt G Coakley,,,,,,,,,,,0.000
Ponce de Leon,Ponce de Leon,,,,,,L-Cpl P Leonard (unknown-1918) - Find a Grave...,19,,"Burial Brie British Cemetery Brie , Departement de la Somme , Picardie , France Add to Map Plot IV",,0.175
Julia Munroe Woodward,Julia Munroe Woodward,,,,,,,,,,,0.000
CPT Tecarie 'CZ' Czarnecki,CPT Tecarie 'CZ' Czarnecki,,,,,,,,,,,0.000
TSgt David A. Stone,TSgt David A Stone,,,,,,T Stone - Find a Grave Memorial,,,"Burial Clarksfield Methodist Cemetery Clarksfield , Huron County , Ohio , USA Add to Map Memorial ID 120044048 120044048",,0.194
Trooper James Herbert Fulford Jr.,James Herbert Fulford Jr,,,,,,,,,,,0.000
Danny A. Pino,Danny A Pino,,,,,,,,,,,0.000
Brigadier General Thomas 'Mark' Stogsdill,Brigadier General Thomas 'Mark' Stogsdill,,,,,,,,,,,0.000
William H. 'Bill' Mapoles,William H 'Bill' Mapoles,,,,,,,,,,,0.000
Mayor Randall Wise,Mayor Randall Wise,,,,,,,,,,,0.000
Walter Francis Spence,Walter Francis Spence,,,,https://www.findagrave.com/memorial/104067956/walter-spence,104067956,Walter Spence (1862-1947) - Find a Grave Memorial,18,19,"Burial Hillside Cemetery Medicine Hat , Medicine Hat Census Division , Alberta , Canada Show Map GPS-Latitude",,0.260
C. Wayne Ansley,C Wayne Ansley,,,,,,,,,,,0.000
Brigadier General Bud Day,Brigadier General Bud Day,,,,,,B E Day Sr. (1903-1983) - Find a Grave Memorial,19,19,"Burial Valley Memorial Park Novato , Marin County , California , USA Add to Map Memorial ID 128423121 128423121",,0.118
Sheriff Wendell Hall Highway,Sheriff Wendell Hall Highway,,,,,,,,,,,0.000
Warren E. 'Charlie',Warren E 'Charlie',,,,,,,,,,,0.000
Shirley Brown,Shirley Brown,,,,https://www.findagrave.com/memorial/158871146/shirley-brown,158871146,Shirley Brown (1938-2006) - Find a Grave Memorial,19,20,"Burial Memorial Park Cemetery Memphis , Shelby County , Tennessee , USA Add to Map Plot Garden of Meditation Memorial ID 158871146 158871146",,0.296
Kimberly Ann Hurd,Kimberly Ann Hurd,,,,,,,,,,,0.000
First Class Deputy Norman Lewis,First Class Deputy Norman Lewis,,,,,,F Lewis - Find a Grave Memorial,,,"Burial Royal Oak Burial Park Cemetery Victoria , Capital Regional District , British Columbia , Canada Add to Map Plot Sec I Memorial ID 230739767 230739767",,0.152
Elias 'Rico' Piccard,Elias 'Rico' Piccard,,,,,,,,,,,0.000
"Robert Pittman, Jr.,",Robert Pittman Jr,,,,,,,,,,,0.000
Lieutenant Debra Clayton,Debra Clayton,,,,https://www.findagrave.com/memorial/16158011/debra-ann-clayton,16158011,Debra Ann Frederick Clayton (1954-2006) - Find a...,19,20,"Burial White Chapel Memorial Gardens Springfield , Greene County , Missouri , USA Add to Map Memorial ID 16158011 16158011",,0.302
Bessie Coleman,Bessie Coleman,,,,,,,,,,,0.000
Fred Karl,Fred Karl,,,,,,,,,,,0.000
Purple Heart,Purple Heart,,,,https://www.findagrave.com/memorial/56521045/p-hearty,56521045,Sgt P Hearty (unknown-1916) - Find a Grave...,19,,"Burial Flatiron Copse Cemetery Mametz , Departement de la Somme , Picardie , France Show Map GPS-Latitude",,0.336
Carmelau Monestime,Carmelau Monestime,,,,,,,,,,,0.000
Dr. Clifford Garfield O’Connor,Clifford Garfield O’Connor,,,,https://www.findagrave.com/memorial/261915304/clifford-o'connor,261915304,Clifford O'Connor (1892-1984) - Find a Grave...,18,19,"Burial Sherman Cemetery Thamesville , Chatham-Kent Municipality , Ontario , Canada Add to Map Memorial ID 261915304 261915304",,0.330
Jessie Trice,Jessie Trice,,,,https://www.findagrave.com/memorial/143551204/jessie-trice,143551204,Jessie Trice (unknown-1941) - Find a Grave...,19,,"Burial Austin State Hospital Cemetery Austin , Travis County , Texas , USA Add to Map Plot 1847 Memorial ID 143551204 143551204",,0.318
Luis Fernando Brande,Luis Fernando Brande,,,,https://www.findagrave.com/memorial/159538105/luis-e-brandenburg,159538105,Luis E Brandenburg (1918-1919) - Find a Grave...,19,19,burial was on 02 Feb 1919 in Gould Cemetery,,0.282
Ralph Sanchez,Ralph Sanchez,,,,https://www.findagrave.com/memorial/79242516/ralph-sanchez,79242516,Ralph Sanchez (1950-2002) - Find a Grave Memorial,19,20,"Burial Galveston Memorial Park Hitchcock , Galveston County , Texas , USA Add to Map Memorial ID 79242516 79242516",,0.296
"Robert ‘Bobby’ L. Parker, Sr.",Robert ‘Bobby’ L Parker Sr,,,,,,Robert Nerses Srabian (1939-2017) - Find a Grave...,19,20,"Burial Masis Ararat Cemetery Fresno , Fresno County , California , USA Add to Map Memorial ID 181294809 181294809",,0.233
Robert L. Shevin,Robert L Shevin,,,,https://www.findagrave.com/memorial/82470415/charles-swift,82470415,Charles Aden Swift (1918-1980) - Find a Grave...,19,19,Cemetery Memorial Photos 5 Flowers 182 Photo added by Sharon Add Photos Request Photo Adding photos to this memorial is not allowed,,0.315
Senator Paul B. Steinberg,Senator Paul B Steinberg,,,,,,,,,,,0.000
"Bishop Isaiah S. Williams, Jr.",Bishop Isaiah S Williams Jr,,,,,,,,,,,0.000
Ronald A. Silver,Ronald A Silver,,,,,,,,,,,0.000
Georgia Ayers,Georgia Ayers,,,,,,,,,,,0.000
Phares Duverne,Phares Duverne,,,,,,,,,,,0.000
Sergeant Carl Mertes,Carl Mertes,,,,https://www.findagrave.com/memorial/94450976/carl-jude-mertes,94450976,Carl Jude Mertes (1955-1995) - Find a Grave...,19,19,"Burial Westlawn Gardens of Memory Clemmons , Forsyth County , North Carolina , USA Show Map GPS-Latitude",,0.292
Stanley G. Tate,Stanley G Tate,,,,,,,,,,,0.000
Jacob Fleishman,Jacob Fleishman,,,,https://www.findagrave.com/memorial/74341683/jacob-fleishman,74341683,Jacob Fleishman (unknown-1943) - Find a Grave...,19,,"Burial Saint Mary's Episcopal Cemetery Baltimore , City of Baltimore , Maryland , USA Add to Map Plot NP 12 B 1",,0.355
Miami Springs,Miami Springs,,,,,,,,,,,0.000
Guillermo Zamora,Guillermo Zamora,,,,,,,,,,,0.000
Rene Ledesma,Rene Ledesma,,,,https://www.findagrave.com/memorial/176557508/rene-e-ledesma,176557508,Rene E Ledesma (1937-2008) - Find a Grave Memorial,19,20,"Burial Silay City Cemeterio Municipal Silay , Negros Occidental Province , Western Visayas , Philippines Show Map GPS-Latitude",,0.274
Sabre,Sabre,,,,,,,,,,,0.000
U.S. Army Sergeant Amaru Aguilar‐Borgen,US Army Sergeant Amaru Aguilar‐Borgen,,,,,,,,,,,0.000
Larcenia Bullard,Larcenia Bullard,,,,,,L E Christopher Bullard (1928-2009) - Find a Grave...,19,20,Burial will be at High Bridge Cemetery,,0.234
Reverend John A. Ferguson,John A Ferguson,,,,,,,,,,,0.000
Robert M. Levy,Robert M Levy,,,,https://www.findagrave.com/memorial/44529976/robert-levy,44529976,Robert Levy (1896-1961) - Find a Grave Memorial,18,19,"Burial Beth Jacob Cemetery Dayton , Montgomery County , Ohio , USA Show Map GPS-Latitude",,0.260
Arthur & Polly Mays,Arthur & Polly Mays,,,,,,,,,,,0.000
Lourdes Guzman‐DeJeus,Lourdes Guzman‐DeJeus,,,,,,,,,,,0.000
Herman Echevarria,Herman Echevarria,,,,,,,,,,,0.000
Belen Presidents,Belen Presidents,,,,,,,,,,,0.000
Betty Pino,Betty Pino,,,,,,,,,,,0.000
Lorenzo de Toro,Lorenzo de Toro,,,,https://www.findagrave.com/memorial/217167592/lorenzo-cornejo_toro,217167592,Lorenzo Cornejo Toro (unknown-1942) - Find a Grave...,19,,"Burial Cementerio General de Santiago Santiago , Provincia de Santiago , Santiago Metropolitan , Chile Add to Map Plot P",,0.303
Muhammad Ali,Muhammad Ali,,,,,,,,,,,0.000
Nelson Mandela,Nelson Mandela,,,,,,,,,,,0.000
Indian Key Irving R. Eyster,Indian Key Irving R Eyster,,,,,,,,,,,0.000
Irene U. Hooper Memorial Bridges,Irene U Hooper Memorial Bridges,,,,,,,,,,,0.000
POW/MIA,POW/MIA,,,,,,,,,,,0.000
"RADM LeRoy Collins, Jr.",RADM LeRoy Collins Jr,,,,,,,,,,,0.000
Gulf Coast,Gulf Coast,,,,,,,,,,,0.000
C.W. 'Bill' Young,CW 'Bill' Young,,,,,,,,,,,0.000
C. Bette Wimbish,C Bette Wimbish,,,,https://www.findagrave.com/memorial/173013643/c-oliver-wimbish,173013643,C. Oliver Wimbish (1918-1993) - Find a Grave...,19,19,"Burial East Lawn Memorial Park Cemetery Kingsport , Sullivan County , Tennessee , USA Add to Map Memorial ID 173013643 173013643",,0.270
Senator Gerald S. ‘Jerry’ Rehm,Senator Gerald S ‘Jerry’ Rehm,,,,,,,,,,,0.000
Purple Heart,Purple Heart,,,,,,,,,,,0.000
Albert W. Gilchrist,Albert W Gilchrist,,,,https://www.findagrave.com/memorial/235065686/albert-gilchrist,235065686,Albert Gilchrist (1891-1971) - Find a Grave...,18,19,"Burial Knox United Church Cemetery Kearney , Parry Sound District , Ontario , Canada Add to Map Memorial ID 235065686 235065686",,0.371
Babcock,Babcock,,,,,,,,,,,0.000
Tom Adams,Tom Adams,,,,,,,,,,,0.000
Frank,Frank,,,,,,Frank Frank (1873-1937) - Find a Grave Memorial,18,19,buried in Kramer Cem,,0.138
Goodlette,Goodlette,,,,,,,,,,,0.000
Judge S. S. Jolley,S S Jolley,,,,https://www.findagrave.com/memorial/61737161/saddie-jolley,61737161,Saddie Pyles Jolley (1903-1976) - Find a Grave...,19,19,"Burial Bethlehem Cemetery White County , Tennessee , USA Add to Map Memorial ID 61737161 61737161",,0.255
"Ted Smallwood, Sr.",Ted Smallwood Sr,,,,,,,,,,,0.000
S. Chesterfield Smith,S Chesterfield Smith,,,,,,,,,,,0.000
Mamie Langdale,Mamie Langdale,,,,,,Rebecca Rose “Becky” Wirtz (1978-1983) - Find a...,19,19,Cemetery Memorial Photos 26 Flowers 11898 Photo added by Lori Nash-Kanitz,,0.246
Purple Heart,Purple Heart,,,,,,,,,,,0.000
Harry Stringfellow,Harry Stringfellow,,,,,,,,,,,0.000
Matanzas Pass,Matanzas Pass,,,,https://www.findagrave.com/memorial/56017826/m-e-pass,56017826,Private M. E. Pass (unknown-1915) - Find a Grave...,19,,Cemetery Copy to clipboard Print Your Virtual Cemeteries Search Load More Create a Virtual Cemetery Type new virtual cemetery name Create Manage Virtual Cemeteries Done Report Abuse Are you sure that you want to report this flower to administrators as offensive or abusive,,0.319
McGregor,McGregor,,,,,,,,,,,0.000
Michael G. Rippe,Michael G Rippe,,,,,,,,,,,0.000
Anna Maria Island,Anna Maria Island,,,,,,,,,,,0.000
H. E. Boyd,H E Boyd,,,,,,Mrs H Boyd (unknown-1938) - Find a Grave Memorial,19,,"Burial Kilmadock Cemetery Doune , Stirling , Scotland Add to Map Plot D2, Grave 149 Memorial ID 220281008 220281008",,0.150
Longboat Key,Longboat Key,,,,,,,,,,,0.000
Palma Sola,Palma Sola,,,,,,,,,,,0.000
Southeastern Guide Dog,Southeastern Guide Dog,,,,,,,,,,,0.000
